uf,cnae,atividades,unidades,pessoal_ocp_total,pessoal_ocp_assal,pessoal_assal_medio,salarios_outras_rem,salario_medio_mensal_min,salario_medio_mensal
Brasil,53,Correio e outras atividades de entrega,16099,171474,160790,186539.84,7084067.732,2.927098,2921.24345703804
Brasil,I,Alojamento e alimentação,314887,2313271,1924387,1939248.11,38608184.396,1.534518,1531.4493915654
Brasil,55,Alojamento,37696,391975,340855,339356.96,7613469.375,1.729227,1725.76831895422
Brasil,56,Alimentação,277191,1921296,1583532,1599891.15,30994715.021,1.493218,1490.23191219555
Brasil,J,Informação e comunicação,169473,1148928,919576,923316.39,57232180.096,4.777667,4768.11138595731
Brasil,58,Edição e edição integrada à impressão,13301,80429,62114,62157.06,3021987.021,3.747384,3739.88956486879
Brasil,59,"Atividades cinematográficas, produção de vídeos e de programas de televisão; gravação de som e edição de música",18159,53709,28986,29839.07,1051268.434,2.715529,2710.09795598136
Brasil,60,Atividades de rádio e de televisão,6573,93105,84978,86145.86,6281528.803,5.620268,5609.02779666594
Brasil,61,Telecomunicações,20757,245915,224423,237948.25,10712233.827,3.469953,3463.01343545207
Brasil,62,Atividades dos serviços de tecnologia da informação,81456,532932,416039,407030.01,29686773.75,5.621635,5610.39216928804
Brasil,63,Atividades de prestação de serviços de informação,29227,142838,103036,100196.14,6478388.261,4.983588,4973.62032647626
Brasil,K,"Atividades financeiras, de seguros e serviços relacionados",171964,1236551,1036591,1047888.06,84633849.3,6.225229,6212.77820457273
Brasil,64,Atividades de serviços financeiros,113932,835717,717084,723483.57,63850837.482,6.802429,6788.82435883205
Brasil,65,"Seguros, resseguros, previdência complementar e planos de saúde",5805,187901,181851,188443.29,10473059.903,4.2837,4275.1322827067
Brasil,66,"Atividades auxiliares dos serviços financeiros, seguros, previdência complementar e planos de saúde",52227,212933,137656,135961.2,10309951.915,5.844774,5833.08491121562
Brasil,L,Atividades imobiliárias,133860,372947,159743,160080.41,5072345.573,2.442287,2437.40273211636
Brasil,68,Atividades imobiliárias,133860,372947,159743,160080.41,5072345.573,2.442287,2437.40273211636
Brasil,M,"Atividades profissionais, científicas e técnicas",393315,1635375,1080800,1062514.16,47975139.255,3.480227,3473.26696079767
Brasil,69,"Atividades jurídicas, de contabilidade e de auditoria",137825,596886,395302,395730.37,12552619.457,2.4449,2440.01013133494
Brasil,70,Atividades de sedes de empresas e de consultoria em gestão empresarial,57839,197190,114753,110893.52,7792393.361,5.416152,5405.31921002306
Brasil,71,Serviços de arquitetura e engenharia; testes e análises técnicas,86768,385670,260365,251133.58,10557097.15,3.240155,3233.6750670852
Brasil,72,Pesquisa e desenvolvimento científico,2787,52491,49256,51592.45,6599166.69,9.858913,9839.19559786513
Brasil,73,Publicidade e pesquisa de mercado,49957,187383,123460,118012.66,4737797.537,3.094383,3088.19379534887
Brasil,74,"Outras atividades profissionais, científicas e técnicas",48358,184154,119543,117879.29,5357362.598,3.502996,3495.9899676251
Brasil,75,Atividades veterinárias,9781,31601,18121,17272.29,378702.462,1.689952,1686.57187989459
Brasil,N,Atividades administrativas e serviços complementares,535279,5198817,4618939,4580108.91,116456550.267,1.959811,1955.89151926621
Brasil,77,Aluguéis não-imobiliários e gestão de ativos intangíveis não-financeiros,49445,295313,232907,234838.22,7473680.636,2.452968,2448.061948611
Brasil,78,"Seleção, agenciamento e locação de mão-de-obra",7066,683509,675044,615644.55,13777396.252,1.724897,1721.44740287607
Brasil,79,"Agências de viagens, operadores turísticos e serviços de reservas",22107,100871,71097,71664.72,2739731.957,2.946651,2940.75818724922
Brasil,80,"Atividades de vigilância, segurança e investigação",12217,658912,644853,653395.99,17894770.055,2.110939,2106.71751055824
Brasil,81,Serviços para edifícios e atividades paisagísticas,226178,1856248,1669545,1687921.3,35397043.221,1.61637,1613.13769696399
Brasil,82,"Serviços de escritório, de apoio administrativo e outros serviços prestados às empresas",218266,1603964,1325493,1316644.13,39173928.146,2.293268,2288.68151954913
Brasil,O,"Administração pública, defesa e seguridade social",22058,7669570,7669320,7836906.21,449176595.942,4.417724,4408.88852256563
Brasil,84,"Administração pública, defesa e seguridade social",22058,7669570,7669320,7836906.21,449176595.942,4.417724,4408.88852256563
Brasil,P,Educação,208759,3466089,3257466,3380526.19,164155108.375,3.742796,3735.31081232243
Brasil,85,Educação,208759,3466089,3257466,3380526.19,164155108.375,3.742796,3735.31081232243
Brasil,Q,Saúde humana e serviços sociais,305413,3538232,3066308,3051540.06,115332371.591,2.913119,2907.29294624282
Brasil,86,Atividades de atenção à saúde humana,283224,3179585,2723542,2704844.49,105947376.625,3.019076,3013.03761900303
Brasil,87,"Atividades de atenção à saúde humana integradas com assistência social, prestadas em residências coletivas e particulares",13209,158967,146842,146060.05,3505168.733,1.84971,1846.01035037933
Brasil,88,Serviços de assistência social sem alojamento,8980,199680,195924,200635.52,5879826.233,2.258826,2254.3083379024
Brasil,R,"Artes, cultura, esporte e recreação",77145,365035,275364,279215.13,8923267.244,2.463265,2458.33802994624
Brasil,90,"Atividades artísticas, criativas e de espetáculos",15963,39117,17828,18016.49,638846.891,2.733082,2727.61611936962
Brasil,91,Atividades ligadas ao patrimônio cultural e ambiental,954,10298,9499,9275.75,517236.307,4.297997,4289.40066633633
Brasil,92,Atividades de exploração de jogos de azar e apostas,64,123,51,48.11,1009.801,1.617806,1614.57077530659
Brasil,93,Atividades esportivas e de recreação e lazer,60164,315497,247986,251874.78,7766174.245,2.376559,2371.80562042041
Brasil,S,Outras atividades de serviços,295587,1013573,788582,789985.29,22303110.978,2.176068,2171.71628776102
Brasil,94,Atividades de organizações associativas,197055,585459,486546,487461.35,15424754.345,2.438957,2434.07926597668
Brasil,95,Reparação e manutenção de equipamentos de informática e comunicação e de objetos pessoais e domésticos,38642,153232,102660,104532.93,2762870.018,2.037199,2033.12451801626
Brasil,96,Outras atividades de serviços pessoais,59890,274882,199376,197991.01,4115486.615,1.602145,1598.94074716594
Brasil,U,Organismos internacionais e outras instituições extraterritoriais,270,2774,2677,2672.53,203493.489,5.868864,5857.12613429683
Brasil,99,Organismos internacionais e outras instituições extraterritoriais,270,2774,2677,2672.53,203493.489,5.868864,5857.12613429683
  Norte,A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",2602,34909,31581,30975.53,683733.48,1.701352,1697.94941610113
  Norte,01,"Agricultura, pecuária e serviços relacionados",1788,26314,23923,23722.56,525256.516,1.706617,1703.20350689872
  Norte,02,Produção florestal,666,7722,6972,6350.54,140317.212,1.703046,1699.63998216021
  Norte,03,Pesca e aquicultura,148,873,686,902.43,18159.752,1.551038,1547.93612800993
  Norte,B,Indústrias extrativas,744,27682,26818,25910.65,1594296.483,4.742604,4733.11904564339
  Norte,05,Extração de carvão mineral,2,,,,,,
  Norte,06,Extração de petróleo e gás natural,13,,,,,,
  Norte,07,Extração de minerais metálicos,245,23291,22941,21801.37,1285029.665,4.543133,4534.04697820507
  Norte,08,Extração de minerais não-metálicos,441,3312,2834,2930.4,90633.211,2.383892,2379.12416787417
  Norte,09,Atividades de apoio à extração de minerais,43,630,602,706.67,104355.93,11.38221,11359.4453291766
  Norte,C,Indústrias de transformação,12440,246815,232226,237017.26,7127967.534,2.317992,2313.35555445657
  Norte,10,Fabricação de produtos alimentícios,3004,74353,70836,73301.77,1616612.185,1.699877,1696.47722642357
  Norte,11,Fabricação de bebidas,196,7881,7668,7948.5,245052.957,2.376298,2371.54525527313
  Norte,12,Fabricação de produtos do fumo,-,-,-,-,-,-,-
  Norte,13,Fabricação de produtos têxteis,114,,,,,,
  Norte,14,Confecção de artigos do vestuário e acessórios,606,4276,3561,3647.58,54163.407,1.14453,1142.24113606197
  Norte,15,"Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",80,2647,2582,2647.87,59972.197,1.745739,1742.24789097536
  Norte,16,Fabricação de produtos de madeira,1495,19023,17161,17841.26,342881.237,1.481304,1478.34176337494
  Norte,17,"Fabricação de celulose, papel e produtos de papel",97,3724,3618,3435.33,126694.333,2.842594,2836.90880441673
  Norte,18,Impressão e reprodução de gravações,779,4155,3226,3307.98,74723.662,1.741091,1737.60844986971
  Norte,19,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",41,3104,3083,3046.09,186740.885,4.725228,4715.77775493779
  Norte,20,Fabricação de produtos químicos,271,6314,6046,6436.34,335621.641,4.019177,4011.13821017726
  Norte,21,Fabricação de produtos farmoquímicos e farmacêuticos,23,,,,,,
  Norte,22,Fabricação de produtos de borracha e de material plástico,404,11484,11052,11139.8,335495.898,2.321325,2316.6822356982
  Norte,23,Fabricação de produtos de minerais não-metálicos,1278,,,,,,
  Norte,24,Metalurgia,86,6781,6697,6574.58,365012.225,4.279229,4270.67028791778
  Norte,25,"Fabricação de produtos de metal, exceto máquinas e equipamentos",956,10239,9047,9215.4,289858.072,2.424361,2419.51242151516
  Norte,26,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",155,24138,24018,25312.22,908289.919,2.765797,2760.26580472564
  Norte,27,"Fabricação de máquinas, aparelhos e materiais elétricos",76,8543,8464,8119.01,240440.862,2.282608,2278.04263365569
  Norte,28,Fabricação de máquinas e equipamentos,137,4194,4066,4201.09,156060.881,2.863243,2857.51630025687
  Norte,29,"Fabricação de veículos automotores, reboques e carrocerias",262,5590,5241,5197.74,178703.51,2.649992,2644.69247137291
  Norte,30,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",149,14764,14605,14301.09,822320.365,4.431982,4423.11828625005
  Norte,31,Fabricação de móveis,554,4541,3897,3681.52,84775.103,1.774873,1771.32319510169
  Norte,32,Fabricação de produtos diversos,473,5201,4680,4571.21,175244.032,2.954869,2948.95884324854
  Norte,33,"Manutenção, reparação e instalação de máquinas e equipamentos",1204,6967,5548,5418.89,138657.891,1.972243,1968.29823365756
  Norte,D,Eletricidade e gás,723,12710,12506,12955.94,947103.785,5.634492,5623.2228080473
  Norte,35,"Eletricidade, gás e outras utilidades",723,12710,12506,12955.94,947103.785,5.634492,5623.2228080473
  Norte,E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",698,18531,17850,17791.11,637999.287,2.764033,2758.50513153869
  Norte,36,"Captação, tratamento e distribuição de água",201,9596,9530,9441.25,420159.658,3.430133,3423.27273319822
  Norte,37,Esgoto e atividades relacionadas,97,477,380,389.9,5374.717,1.062499,1060.37386312072
  Norte,38,"Coleta, tratamento e disposição de resíduos; recuperação de materiais",390,8419,7908,7924.24,211884.928,2.060955,2056.83328816197
  Norte,39,Descontaminação e outros serviços de gestão de resíduos,10,39,32,35.72,579.984,1.251499,1248.99646825739
  Norte,F,Construção,9231,117973,105719,109103.66,2785480.506,1.967827,1963.8913234512
  Norte,41,Construção de edifícios,4667,,,,,,
  Norte,42,Obras de infraestrutura,1177,43740,42414,42857.17,1380356.58,2.482527,2477.56152318539
  Norte,43,Serviços especializados para construção,3387,,,,,,
  Norte,G,Comércio; reparação de veículos automotores e motocicletas,95466,604979,500360,505453.66,10538001.468,1.606952,1603.73850599571
  Norte,45,Comércio e reparação de veículos automotores e motocicletas,10409,66348,54143,53878.47,1374600.38,1.96647,1962.53699797397
  Norte,46,"Comércio por atacado, exceto veículos automotores e motocicletas",14001,101595,85934,87683.85,2326830.727,2.045367,2041.27646083059
  Norte,47,Comércio varejista,71056,437036,360283,363891.34,6836570.361,1.44808,1445.18423485767
  Norte,H,"Transporte, armazenagem e correio",9081,113765,104332,109506.25,3163579.359,2.226722,2222.26821194786
  Norte,49,Transporte terrestre,5843,73834,67186,69555.11,1735545.412,1.923238,1919.39159079425
  Norte,50,Transporte aquaviário,719,11300,10470,10796.22,357470.258,2.55208,2546.97590025455
  Norte,51,Transporte aéreo,137,2389,2312,2423.32,108613.058,3.454597,3447.68772402515
  Norte,52,Armazenamento e atividades auxiliares dos transportes,1464,18561,17016,17958.97,637671.5,2.736791,2731.31776745291
  Norte,53,Correio e outras atividades de entrega,918,7681,7348,8772.63,324279.131,2.84915,2843.45156908037
  Norte,I,Alojamento e alimentação,10006,79453,68281,69285.63,1183706.68,1.316822,1314.18823787847
  Norte,55,Alojamento,2088,17113,14490,14443.13,253721.932,1.354013,1351.30485513235
  Norte,56,Alimentação,7918,62340,53791,54842.5,929984.748,1.307027,1304.4133346892
  Norte,J,Informação e comunicação,3686,29571,25588,26195.48,867792.096,2.55338,2548.27314307072
  Norte,58,Edição e edição integrada à impressão,241,1788,1513,1516.71,40916.511,2.079324,2075.1652742297
  Norte,59,"Atividades cinematográficas, produção de vídeos e de programas de televisão; gravação de som e edição de música",308,1586,1243,1306.66,26207.947,1.545954,1542.86189450731
  Norte,60,Atividades de rádio e de televisão,468,5603,5132,5772.69,179695.503,2.399303,2394.50429522458
  Norte,61,Telecomunicações,1276,10592,9369,9304.28,281420.766,2.331307,2326.64442931309
  Norte,62,Atividades dos serviços de tecnologia da informação,1012,6102,4841,4699.06,186775.639,3.063623,3057.49593453879
  Norte,63,Atividades de prestação de serviços de informação,381,3900,3490,3596.08,152775.73,3.274546,3267.99716101122
  Norte,K,"Atividades financeiras, de seguros e serviços relacionados",3801,38044,34853,34609.4,2181723.931,4.858831,4849.1137601123
  Norte,64,Atividades de serviços financeiros,2554,29287,27629,27415.37,1930825.488,5.42844,5417.58282082137
  Norte,65,"Seguros, resseguros, previdência complementar e planos de saúde",224,5174,4953,4944.52,185868.211,2.897391,2891.59608866132
  Norte,66,"Atividades auxiliares dos serviços financeiros, seguros, previdência complementar e planos de saúde",1023,3583,2271,2249.51,65030.232,2.228196,2223.74007604391
  Norte,L,Atividades imobiliárias,2299,,,,,,
  Norte,68,Atividades imobiliárias,2299,,,,,,
  Norte,M,"Atividades profissionais, científicas e técnicas",11781,55081,40176,41211.24,1610163.238,3.011482,3005.45944784444
  Norte,69,"Atividades jurídicas, de contabilidade e de auditoria",5593,21034,13836,14162.01,313178.259,1.704484,1701.07458670713
  Norte,70,Atividades de sedes de empresas e de consultoria em gestão empresarial,1088,5701,4329,3805.24,147085.726,2.979302,2973.34376159838
  Norte,71,Serviços de arquitetura e engenharia; testes e análises técnicas,2297,12525,9572,9582.83,279824.095,2.250699,2246.19766651557
  Norte,72,Pesquisa e desenvolvimento científico,91,4054,3984,5377.8,587865.531,8.425573,8408.72205391395
  Norte,73,Publicidade e pesquisa de mercado,1142,3939,2545,2500.68,54029.726,1.665332,1662.0010434085
  Norte,74,"Outras atividades profissionais, científicas e técnicas",1310,6741,5149,5087.89,215288.907,3.261445,3254.92201164847
  Norte,75,Atividades veterinárias,260,1087,761,694.79,12890.994,1.430075,1427.21530689406
  Norte,N,Atividades administrativas e serviços complementares,12094,205231,192037,189609.13,3889060.397,1.580926,1577.76417241576
  Norte,77,Aluguéis não-imobiliários e gestão de ativos intangíveis não-financeiros,2063,14239,11884,11581.22,284526.909,1.89363,1889.84280651713
  Norte,78,"Seleção, agenciamento e locação de mão-de-obra",294,31145,30812,30683.69,626649.05,1.574138,1570.99009528916
  Norte,79,"Agências de viagens, operadores turísticos e serviços de reservas",865,3269,2192,2163.96,45858.787,1.633426,1630.15906024141
  Norte,80,"Atividades de vigilância, segurança e investigação",623,40701,40057,39097.32,980523.65,1.933024,1929.15770579278
  Norte,81,Serviços para edifícios e atividades paisagísticas,3670,75236,71969,72459.92,1277898.038,1.359329,1356.60995867678
  Norte,82,"Serviços de escritório, de apoio administrativo e outros serviços prestados às empresas",4579,40641,35123,33623.02,673603.963,1.544166,1541.07779317677
  Norte,O,"Administração pública, defesa e seguridade social",2076,794783,794765,809465.04,40153603.949,3.823425,3815.77784422622
  Norte,84,"Administração pública, defesa e seguridade social",2076,794783,794765,809465.04,40153603.949,3.823425,3815.77784422622
  Norte,P,Educação,10305,252459,244166,250835.17,12573407.389,3.863587,3855.85954222141
  Norte,85,Educação,10305,252459,244166,250835.17,12573407.389,3.863587,3855.85954222141
  Norte,Q,Saúde humana e serviços sociais,11071,189740,173690,172583.49,6619129.282,2.956159,2950.24623110285
  Norte,86,Atividades de atenção à saúde humana,10552,182427,166688,165489.84,6418274.209,2.989324,2983.34568872813
  Norte,87,"Atividades de atenção à saúde humana integradas com assistência social, prestadas em residências coletivas e particulares",223,1905,1719,1650.27,36856.226,1.721401,1717.95785398287
  Norte,88,Serviços de assistência social sem alojamento,296,5408,5283,5443.38,163998.847,2.322193,2317.54827388074
  Norte,R,"Artes, cultura, esporte e recreação",2102,11822,9500,9667.14,232480.531,1.853594,1849.8871195856
  Norte,90,"Atividades artísticas, criativas e de espetáculos",240,1710,1438,1417.08,51718.619,2.813058,2807.43169594681
  Norte,91,Atividades ligadas ao patrimônio cultural e ambiental,20,,,,,,
  Norte,92,Atividades de exploração de jogos de azar e apostas,2,,,,,,
  Norte,93,Atividades esportivas e de recreação e lazer,1840,9680,7643,7818.6,141764.627,1.397542,1394.74730868599
  Norte,S,Outras atividades de serviços,12102,42935,34264,34307.13,808479.408,1.816397,1812.76381009743
  Norte,94,Atividades de organizações associativas,9163,27963,22729,22930.25,586930.653,1.972896,1968.94982694174
  Norte,95,Reparação e manutenção de equipamentos de informática e comunicação e de objetos pessoais e domésticos,1081,5110,3906,3867.09,86833.853,1.730736,1727.2748122868
  Norte,96,Outras atividades de serviços pessoais,1858,9862,7629,7509.79,134714.902,1.382655,1379.89008603846
  Norte,U,Organismos internacionais e outras instituições extraterritoriais,10,,,,,,
  Norte,99,Organismos internacionais e outras instituições extraterritoriais,10,,,,,,
    Rondônia,A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",375,1849,1362,1331.38,27368.287,1.584425,1581.25617491163
    Rondônia,01,"Agricultura, pecuária e serviços relacionados",252,1297,960,959.21,19387.316,1.557866,1554.75026323746
    Rondônia,02,Produção florestal,111,489,352,300.01,6132.514,1.575538,1572.38707427701
    Rondônia,03,Pesca e aquicultura,12,63,50,72.16,1848.457,1.974417,1970.46840354767
    Rondônia,B,Indústrias extrativas,201,1565,1298,1475.35,38998.527,2.037414,2033.33899909018
    Rondônia,05,Extração de carvão mineral,-,-,-,-,-,-,-
    Rondônia,06,Extração de petróleo e gás natural,-,-,-,-,-,-,-
    Rondônia,07,Extração de minerais metálicos,67,801,665,770.29,21974.432,2.198819,2194.42148161981
    Rondônia,08,Extração de minerais não-metálicos,127,704,575,644.42,15276.552,1.827185,1823.53028244838
    Rondônia,09,Atividades de apoio à extração de minerais,7,60,58,60.64,1747.543,2.221236,2216.79394154658
    Rondônia,C,Indústrias de transformação,2442,37147,34042,35473.67,780534.084,1.695945,1692.55347373461
    Rondônia,10,Fabricação de produtos alimentícios,533,19509,18882,19680.42,457282.552,1.790921,1787.33893499615
    Rondônia,11,Fabricação de bebidas,27,938,901,950.88,22281.205,1.806089,1802.476491412
    Rondônia,12,Fabricação de produtos do fumo,-,-,-,-,-,-,-
    Rondônia,13,Fabricação de produtos têxteis,15,64,50,53.22,836.434,1.211387,1208.9642413205
    Rondônia,14,Confecção de artigos do vestuário e acessórios,143,1108,938,997.51,15361.613,1.186986,1184.61222289655
    Rondônia,15,"Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",20,786,774,822.37,19566.602,1.833894,1830.22633458082
    Rondônia,16,Fabricação de produtos de madeira,460,5117,4502,4768.26,89750.898,1.450791,1447.88984467484
    Rondônia,17,"Fabricação de celulose, papel e produtos de papel",11,81,69,69.45,1093.291,1.21336,1210.93315611674
    Rondônia,18,Impressão e reprodução de gravações,113,657,499,501.56,9630.444,1.479958,1476.9985338053
    Rondônia,19,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",4,38,34,59.68,1211.18,1.564249,1561.12084965972
    Rondônia,20,Fabricação de produtos químicos,43,294,240,237.05,5198.512,1.690305,1686.92486168124
    Rondônia,21,Fabricação de produtos farmoquímicos e farmacêuticos,3,,,,,,
    Rondônia,22,Fabricação de produtos de borracha e de material plástico,54,590,521,520.19,11520.698,1.707037,1703.62278871477
    Rondônia,23,Fabricação de produtos de minerais não-metálicos,234,2773,2451,2468.88,50837.959,1.587136,1583.96205193012
    Rondônia,24,Metalurgia,21,278,259,306.06,8300.097,2.090272,2086.09096255636
    Rondônia,25,"Fabricação de produtos de metal, exceto máquinas e equipamentos",228,1440,1137,1126.01,23288.165,1.594113,1590.92486540289
    Rondônia,26,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",2,,,,,,
    Rondônia,27,"Fabricação de máquinas, aparelhos e materiais elétricos",7,86,77,53.58,1588.348,2.28491,2280.33996611824
    Rondônia,28,Fabricação de máquinas e equipamentos,19,41,25,79.11,2912.281,2.837449,2831.77367443579
    Rondônia,29,"Fabricação de veículos automotores, reboques e carrocerias",67,445,347,351.85,7765.941,1.701228,1697.82599665504
    Rondônia,30,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",9,549,541,540.27,10388.326,1.482043,1479.078979029
    Rondônia,31,Fabricação de móveis,137,980,804,867.11,20174.342,1.793293,1789.70656726189
    Rondônia,32,Fabricação de produtos diversos,129,681,507,489.21,9136.036,1.439423,1436.54463318411
    Rondônia,33,"Manutenção, reparação e instalação de máquinas e equipamentos",163,669,470,515.79,12185.74,1.82098,1817.33770601333
    Rondônia,D,Eletricidade e gás,85,2638,2561,2571.57,208784.198,6.257853,6245.33764318176
    Rondônia,35,"Eletricidade, gás e outras utilidades",85,2638,2561,2571.57,208784.198,6.257853,6245.33764318176
    Rondônia,E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",122,2038,1891,1860.94,86718.912,3.591762,3584.57851325757
