faixas,unidades_locais,pessoal_ocup_total,pessoal_ocup_assal,pessoal_assalariado_medio,salario_outras_rem,salario_medio_mensal_min,salario_medio_mensal
               Total,5790027,53220285,46214846,47063343.9,1820628515.254,2.981705,2975.74153729503
"Agricultura, pecuária, produção florestal, pesca e aquicultura",132186,659991,529789,556414.86,14135927.9,1.958176,1954.25957752237
"Agricultura, pecuária e serviços relacionados",117559,542560,428514,451580.95,11646370.225,1.987838,1983.86276633748
Produção de lavouras temporárias,38367,147007,116239,126542.31,3889486.36,2.369096,2364.35749008801
Horticultura e floricultura,6341,17124,10302,9992.5,209743.661,1.617859,1614.62374473163
Produção de lavouras permanentes,18011,119980,103025,109122.22,2209349.255,1.560549,1557.42746703932
Produção de sementes e mudas certificadas,1102,15988,14817,17159.99,746147.42,3.351458,3344.75459394879
Pecuária,39780,141792,101578,102284.98,2465821.821,1.858129,1854.41304886978
Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita,13958,100669,82553,86478.95,2125821.708,1.894709,1890.91966044027
Caça e serviços relacionados,,,,,,,
Produção florestal,11608,102362,90045,93359.72,2262275.488,1.867721,1863.98578942413
